"guide","point_est","gene_name","lower_ci","upper_ci","p_onetail","p_twotail","fdr"
"Actr8_1",0.703237497524406,"Actr8",0.633158812863895,0.852088676027519,0,0,0
"Actr8_2",0.726578771392251,"Actr8",0.539344416853574,0.827274631852593,0,0,0
"Actr8_3",0.743947578297232,"Actr8",0.694464759207573,0.813134577230987,0,0,0
"Aebp2_1",1.00852409131473,"Aebp2",0.883986529045325,1.09818795317824,0.4,0.8,0.845776566757493
"Aebp2_2",0.959993530285878,"Aebp2",0.882354057054233,1.05402963459427,0.2,0.4,0.570588235294118
"Aebp2_3",0.969573193166997,"Aebp2",0.880826710310591,1.12981753710229,0.3,0.6,0.736708860759494
"Alkbh3_1",1.13177851735342,"Alkbh3",0.96446409429038,1.36046820572325,0.2,0.4,0.570588235294118
"Alkbh3_2",0.930629413680579,"Alkbh3",0.806325900486628,1.02395109097376,0.1,0.2,0.335930735930736
"Alkbh3_3",1.0530326754891,"Alkbh3",0.953359203804607,1.14576982471229,0.2,0.4,0.570588235294118
"Arid1a_1",1.40837247947324,"Arid1a",1.27869774883815,1.55046317784261,0,0,0
"Arid1a_3",1.17811486967354,"Arid1a",1.03911129010461,1.42040947702144,0,0,0
"Arid2_1",0.967868157565063,"Arid2",0.81886639097226,1.11258700786022,0.4,0.8,0.845776566757493
"Arid2_2",0.799218574278533,"Arid2",0.723357638734905,0.909599500596491,0,0,0
"Arid2_3",0.850993127021862,"Arid2",0.755400459007684,1.03688943454797,0.1,0.2,0.335930735930736
"Arid4a_1",1.22139855757412,"Arid4a",1.06843238990983,1.39704696673883,0,0,0
"Arid4a_2",1.64496423022253,"Arid4a",1.25808903107761,1.88360952559421,0,0,0
"Arid4a_3",1.74791882422806,"Arid4a",1.5289579721997,1.97755919691295,0,0,0
"Arid4b_1",0.83526162701951,"Arid4b",0.698603780393987,1.00604940011257,0.1,0.2,0.335930735930736
"Arid4b_2",0.937636090137817,"Arid4b",0.856474387377309,1.00453770720531,0.3,0.6,0.736708860759494
"Arid4b_3",0.822267554636113,"Arid4b",0.750671367207213,0.887458021834771,0,0,0
"Ash1l_1",1.02423444598399,"Ash1l",0.878153616916422,1.18556581932091,0.4,0.8,0.845776566757493
"Ash1l_2",1.01592984413688,"Ash1l",0.838017884338568,1.22198149990065,0.4,0.8,0.845776566757493
"Ash1l_3",1.051225313862,"Ash1l",0.946954788591173,1.14352131371246,0.2,0.4,0.570588235294118
"Ash2l_1",1.28160849557202,"Ash2l",1.11158594355716,1.46629537856648,0,0,0
"Ash2l_2",1.82105540861806,"Ash2l",1.40297905164403,2.15936030519135,0,0,0
"Ash2l_3",1.05025475247321,"Ash2l",0.942802606336389,1.20645245800949,0.4,0.8,0.845776566757493
"Asxl1_1",0.737607879668225,"Asxl1",0.652053056666286,0.854802182718772,0,0,0
"Asxl1_2",0.983916520213666,"Asxl1",0.83434424448516,1.09412018397244,0.5,1,1
"Asxl1_3",1.23363042882433,"Asxl1",1.07973508497972,1.30536829260235,0,0,0
"Asxl2_1",1.47879026639186,"Asxl2",1.25412382754474,1.83686258582017,0,0,0
"Asxl2_2",1.64688452851643,"Asxl2",1.48028549680392,1.87507645223391,0,0,0
"Asxl2_3",1.99962350132414,"Asxl2",1.7422953518236,2.37888694617002,0,0,0
"Atf2_1",1.09041976860431,"Atf2",0.923731497920363,1.19474932097256,0.1,0.2,0.335930735930736
"Atf2_2",0.955748556764023,"Atf2",0.899235281788862,1.0097523113389,0.2,0.4,0.570588235294118
"Atf2_3",1.01602391630361,"Atf2",0.912633166913476,1.10888043940136,0.4,0.8,0.845776566757493
"Atf7ip_1",1.1159085024539,"Atf7ip",1.0246077477487,1.28262329874085,0,0,0
"Atf7ip_2",0.950093043876169,"Atf7ip",0.830171896826353,1.07167948466923,0.3,0.6,0.736708860759494
"Atf7ip_3",1.14901522432016,"Atf7ip",1.06263812598773,1.2428530150507,0,0,0
"Atrx_1",1.20213048308218,"Atrx",1.05168132264475,1.3979412729368,0,0,0
"Atrx_2",0.992151683359884,"Atrx",0.900131010152747,1.11415775882636,0.4,0.8,0.845776566757493
