"guide","point_est","gene_name","lower_ci","upper_ci","p_onetail","p_twotail","fdr"
"Actr8_1",0.784827008228944,"Actr8",0.670266382800033,0.875987257330182,0,0,0
"Actr8_2",0.8159314818128,"Actr8",0.687322604162164,0.938355033433607,0,0,0
"Actr8_3",0.871492733625726,"Actr8",0.818794533307798,0.960736153437805,0,0,0
"Aebp2_1",0.997264361157092,"Aebp2",0.891105707377782,1.17079202667301,0.3,0.6,0.725233644859813
"Aebp2_2",0.961670130040629,"Aebp2",0.876022771289675,1.035037439905,0.3,0.6,0.725233644859813
"Aebp2_3",0.996761571974172,"Aebp2",0.885837861865372,1.16607300685872,0.4,0.8,0.857458563535912
"Alkbh3_1",1.14501302578133,"Alkbh3",0.979040108441622,1.31497353199892,0.1,0.2,0.353530751708428
"Alkbh3_2",0.999691974183446,"Alkbh3",0.885756815849628,1.07384347577831,0.5,1,1
"Alkbh3_3",1.05391191808002,"Alkbh3",0.994800013483457,1.13955540753128,0.3,0.6,0.725233644859813
"Arid1a_1",1.35767478719261,"Arid1a",1.23769671133404,1.45274779894501,0,0,0
"Arid1a_3",1.18775924158036,"Arid1a",1.01748997516706,1.37947465948853,0,0,0
"Arid2_1",1.00300059711841,"Arid2",0.852721020280327,1.13334465882425,0.5,1,1
"Arid2_2",0.815357979210603,"Arid2",0.75708503899952,0.873819764477883,0,0,0
"Arid2_3",1.03738347232087,"Arid2",0.839786300970301,1.27463203743215,0.5,1,1
"Arid4a_1",1.16467192740389,"Arid4a",1.05146190021538,1.34225029917446,0,0,0
"Arid4a_2",1.68121081542567,"Arid4a",1.33914628540528,1.8856703154482,0,0,0
"Arid4a_3",1.62015887383783,"Arid4a",1.37468090812954,1.83694830533054,0,0,0
"Arid4b_1",0.832273998533794,"Arid4b",0.71132149513424,0.957282945843479,0,0,0
"Arid4b_2",0.971707789575893,"Arid4b",0.894300885563259,1.08043059863353,0.3,0.6,0.725233644859813
"Arid4b_3",0.878961552616551,"Arid4b",0.812075154717003,0.971554615670449,0,0,0
"Ash1l_1",0.963051726318835,"Ash1l",0.821682654321951,1.04838344679542,0.3,0.6,0.725233644859813
"Ash1l_2",0.951682002875332,"Ash1l",0.763754150445684,1.13795913062293,0.3,0.6,0.725233644859813
"Ash1l_3",1.09320662868659,"Ash1l",0.990820590709664,1.18830146284821,0.1,0.2,0.353530751708428
"Ash2l_1",1.09257817640035,"Ash2l",0.995825810535524,1.23329206132758,0.1,0.2,0.353530751708428
"Ash2l_2",1.77900296419574,"Ash2l",1.40466007633564,2.04308585729788,0,0,0
"Ash2l_3",1.05103020304932,"Ash2l",0.994997474588017,1.15397493711898,0.1,0.2,0.353530751708428
"Asxl1_1",0.811912623721338,"Asxl1",0.674378734256406,0.960535325036045,0,0,0
"Asxl1_2",0.955107372333762,"Asxl1",0.833931884054094,1.14183628548635,0.3,0.6,0.725233644859813
