"gene_name","point_est","p","fdr"
"Phf1",1.03642948651102,0.0817677805501316,0.128285776022339
"Phf10",0.971747582017815,0.414008877835457,0.493108134982882
"Phf12",0.819309721674104,0,0
"Phf14",0.886904229593417,0,0
"Phf2",1.02215391242009,0.683898734177101,0.736699739389304
"Phf21a",1.11980334606632,0.220922044434999,0.292896647146854
"Phf23",0.782099569870131,0,0
"Phf24",1.03170684052355,0.286735926856234,0.367057373626956
"Phf3",1.26876706039899,0,0
"Phip",0.935506859049905,0,0
"Phrf1",0.919733906713724,0.210394831995075,0.280737090344479
"Pogz",1.00053984229511,0,0
"Pole3",0.829641944328134,0,0
"Ppp4r3a",1.02287764018854,0.457395241284166,0.529710694451623
"Ppp4r3b",1.12112225021969,0,0
"Prmt1",0.963499568535896,0.46973966011588,0.541865040999814
"Prmt2",0.978241580871094,0,0
"Prmt8",0.948574441074358,0,0
"Psip1",1.20350523556111,0.128636898244811,0.193285185567844
"Psma3",0.568839911115923,0,0
"Psmd1",0.795330716685597,0,0
"Ptpn11",0.558610485963196,0,0
"Ptpn14",1.23506129278091,0,0
"Pwwp2b",1.165756587717,0,0
"Rad21",1.03007991394514,0,0
"Rai1",1.07875153608927,0.539014040579101,0.609772640500681
"Rasa1",1.37652120765725,0,0
"Rb1",1.01316230762117,0,0
"Rbbp4",0.801781243693484,0,0
"Rbbp5",0.64792527029047,0,0
"Rbbp7",0.893035869024581,0.427400745904688,0.502925375703107
"Rbm10",1.23322174023103,0,0
"Rere",0.846278815685093,0,0
"Ring1",0.939560503535126,0,0
"Rnf2",0.995709584249466,0,0
"Rsu1",0.86777927331639,0,0
"Rtf1",0.601595414866592,0,0
"Ruvbl1",0.57454997273329,0,0
"Ruvbl2",0.683660487613628,0,0
"Scmh1",0.917410078140313,0,0
"Set",0.984497949481499,0.173349556564395,0.248977549379254
"Setd1a",0.875530666725093,0,0
"Setd2",0.686103978901833,0.419749392082702,0.495913596291256
"Setd3",0.9359048535103,0,0
"Setd5",1.09046148252735,0.166251622537628,0.241321148747748
"Setd7",1.09534992742753,0.476210806559374,0.545038149694909
"Sirt1",0.831781590905783,0,0
"Sirt2",1.24629700078675,0.456889386294005,0.529710694451623
"Sirt7",0.906869719290571,0,0
"Smarca2",1.06967274905192,0,0
"Smarca4",0.674038635258719,0,0
"Smarca5",1.01042726957226,0,0
"Smarcb1",0.830309236949566,0,0
"Smarcc1",1.13939229600296,0.632043066028197,0.688433525450788
"Smarcc2",1.03055832326755,0.770216661107912,0.819580419580419
"Smarcd2",0.730082048291332,0,0
"Smarce1",0.592179399269256,0,0
"Smc1a",0.636482942336466,0,0
"Smc3",0.630632629151009,0,0
"Smn1",0.896667167248306,0,0
"Smndc1",0.953374538397628,0.158401426601507,0.232058089971207
"Snd1",0.859781287751473,0,0
"Sos2",0.772968437081025,0,0
"Sp100",1.08006793501512,0.385177434346751,0.476189823897038
"Sp140",0.913150889278832,0,0
"Srcap",0.731652053324093,0,0
"Stag1",0.995871708790371,0.191149536840152,0.270046082949309
"Stag2",1.25016365548858,0,0
"Stk11",1.09003581766365,0.430574050260617,0.504632786905443
"Sty1",1.06434337948108,0,0
"Suz12",1.03785570568316,0,0
"Tbl1xr1",1.08515766580391,0,0
"Tcf20",0.9857902774784,0,0
"Tdg",0.905189302739613,0,0
"Tdrd3",0.983870125934617,0,0
"Tet3",1.07391400228499,0,0
"Tfpt",0.925895691635212,0,0
"Trim28",0.95841078664923,0.240375129554151,0.314419254282885
"Trrap",0.686061182014243,0,0
"Tsc1",1.26682524617239,0,0
"Tulp3",1.16517714450634,0,0
"Ube2q1",1.01441633742057,0.0476575501070065,0.0775759010075161
"Uhrf2",0.988083110748824,0.0707512019647658,0.11327924686162
"Vangl1",1.42301440788689,0.399943115182086,0.478367346938775
"Vcpkmt",0.837497923095587,0.206207789569889,0.277150836440264
"Vps72",1.03268219937951,0,0
"Wapl",0.659803276271213,0,0
"Wnk1",1.00769287761947,0,0
"Yeats4",0.607623085032604,0,0
"Yy1",0.651690635937098,0,0
"Zbtb38",1.14946392712331,0,0
"Zbtb4",0.791906353915966,0,0
"Zmat3",1.51372458248329,0,0
"Zmym5",1.58642481587608,0,0
"Zmynd11",1.03064102190341,0,0
"Zmynd8",0.969961412368117,0,0
"Zzz3",0.840163513637597,0,0
"sgNT1",0.18433750743212,0.2,0.270046082949309
"sgNT2",0.415667442082901,0.2,0.270046082949309
"sgNT3",0.407452707782863,0.8,0.819580419580419
"sgNT4",0.37721067538509,0,0
"sgNT5",0.250315251072216,1,1
"sgNeo1",0.297045415939225,1,1
"sgNeo2",0.230951403468683,1,1
"sgNeo3",0.469956674691472,0.8,0.819580419580419
"sgSafe1",0.526298496978044,0,0
"sgSafe10",0.27566716237468,0.8,0.819580419580419
"sgSafe11",0.309636946342598,0,0
"sgSafe12",0.525313610211254,0.8,0.819580419580419
"sgSafe13",0.332565388204493,0,0
"sgSafe14",0.32927187640732,1,1
"sgSafe15",0.232251783054456,0,0
"sgSafe16",0.278907775536105,0.8,0.819580419580419
"sgSafe17",0.310911455273017,0.4,0.478367346938775
"sgSafe18",0.54773044483464,0.2,0.270046082949309
"sgSafe19",0.2764013038986,0.6,0.655970149253732
"sgSafe2",0.433284027896938,0.2,0.270046082949309
"sgSafe20",0.288589893353348,0.2,0.270046082949309
"sgSafe21",0.381101476087251,0.8,0.819580419580419
"sgSafe22",0.289557144761817,0.2,0.270046082949309
"sgSafe23",0.395964684173708,0.2,0.270046082949309
"sgSafe24",0.212637376678803,0.6,0.655970149253732
"sgSafe25",0.424899428785876,0.8,0.819580419580419
"sgSafe26",0.315894830981384,0.6,0.655970149253732
"sgSafe27",0.566847690474658,1,1
"sgSafe28",0.20890967523923,0.2,0.270046082949309
"sgSafe29",0.192128242135077,0.4,0.478367346938775
"sgSafe3",0.603041842260972,0,0
"sgSafe30",0.336689152027992,0.6,0.655970149253732
"sgSafe31",0.159562185499705,0,0
"sgSafe32",0.471471719677795,0,0
"sgSafe33",0.260516241525041,1,1
"sgSafe34",0.306684404730043,0.8,0.819580419580419
"sgSafe35",0.243158350675365,1,1
"sgSafe36",0.43077416693373,0,0
"sgSafe37",0.212864848552957,0.4,0.478367346938775
"sgSafe38",0.390070179071077,0.6,0.655970149253732
"sgSafe39",0.173630628773749,0.6,0.655970149253732
"sgSafe4",0.440087852226258,0.8,0.819580419580419
"sgSafe40",0.343405064364914,0.8,0.819580419580419
"sgSafe41",0.388966445698581,0.8,0.819580419580419
"sgSafe42",0.271549738329713,0.4,0.478367346938775
"sgSafe5",0.334097508536149,0,0
"sgSafe6",0.215257948192383,0.4,0.478367346938775
"sgSafe7",0.428705462812427,0.2,0.270046082949309
"sgSafe8",0.489105648805178,0.2,0.270046082949309
"sgSafe9",0.262606917958719,0.6,0.655970149253732
