"gene_name","point_est","p","fdr"
"Rbbp4",0.679849332140353,0,0
"Rbbp5",0.661138466905374,0.0919377176640253,0.139573840806007
"Rbbp7",0.862137818160891,0,0
"Rbm10",1.82230198568952,0,0
"Rere",0.731202408932903,0.249046968714155,0.325762329612711
"Ring1",1.09467555021072,0,0
"Rnf2",1.23326854606186,0,0
"Rsu1",0.761822329905931,0.0718443424723691,0.110791538654759
"Rtf1",0.400609547923603,0,0
"Ruvbl1",0.396880011567142,0,0
"Ruvbl2",0.661678791308845,0,0
"Scmh1",1.18652645122486,0,0
"Set",0.765844901746499,0,0
"Setd1a",0.738066536079751,0,0
"Setd2",3.17131440242095,0,0
"Setd3",0.829054092033267,0,0
"Setd5",1.13036527134842,0,0
"Setd7",1.15630088682523,0.476210806559374,0.538724966493809
"Sirt1",0.867227947617037,0,0
"Sirt2",1.39218036463653,0,0
"Sirt7",0.664125970538532,0,0
"Smarca2",1.57479359588237,0,0
"Smarca4",1.9320381548881,0,0
"Smarca5",0.992824489922131,0,0
"Smarcb1",0.815076960630817,0,0
"Smarcc1",1.06281430440882,0,0
"Smarcc2",1.22800355158284,0.239308693166489,0.315844356296312
"Smarcd2",0.855214593416341,0.0285303354530935,0.045185882636521
"Smarce1",0.735182061059945,0,0
"Smc1a",0.462451388186805,0,0
"Smc3",0.484115545040501,0,0
"Smn1",0.74308579713139,0,0
"Smndc1",0.924636895325111,0.158401426601507,0.232492882330661
"Snd1",0.770519802594219,0,0
"Sos2",0.664011654209893,0,0
"Sp100",1.12362763941492,0.563401729143922,0.625290555451398
"Sp140",1.11549616106422,0,0
"Srcap",0.730712158539487,0,0
"Stag1",1.03024125334999,0.390441129013839,0.4688
"Stag2",3.30416386206244,0,0
"Stk11",19.2900765713858,0,0
"Sty1",1.10669433757671,0.234832775527267,0.31133938112891
"Suz12",2.89112712345442,0,0
"Tbl1xr1",1.58607749907479,0,0
"Tcf20",0.904123984785093,0.418795907751845,0.483099216422404
"Tdg",0.749806870658111,0,0
"Tdrd3",1.08525199881646,0,0
"Tet3",1.19846962089281,0,0
"Tfpt",0.817062874154636,0,0
"Trim28",0.841738140275985,0,0
"Trrap",0.511403016267652,0,0
"Tsc1",3.91116163405401,0,0
"Tulp3",1.41361907337761,0,0
