"guide","point_est","gene_name","lower_ci","upper_ci","p_onetail","p_twotail","fdr"
"Actr8_1",0.745502760719935,"Actr8",0.639467476430774,0.895202323910839,0,0,0
"Actr8_2",0.77751560607034,"Actr8",0.617136029868891,0.904355131878264,0,0,0
"Actr8_3",0.781413529143264,"Actr8",0.712523273350321,0.8622858435724,0,0,0
"Aebp2_1",0.994365985524672,"Aebp2",0.860573710904165,1.14641191515715,0.4,0.8,0.841192411924119
"Aebp2_2",0.94161033706518,"Aebp2",0.860786156832715,0.998855960490354,0,0,0
"Aebp2_3",0.994225577360608,"Aebp2",0.857623355261305,1.15086551895151,0.4,0.8,0.841192411924119
"Alkbh3_1",1.11359220800579,"Alkbh3",0.965875833380829,1.23843479253588,0.1,0.2,0.33448275862069
"Alkbh3_2",0.982761453370022,"Alkbh3",0.867749903061885,1.06764357078989,0.3,0.6,0.706525037936267
"Alkbh3_3",1.06454444990526,"Alkbh3",1.00235693437708,1.12204096431853,0.1,0.2,0.33448275862069
"Arid1a_1",1.40642060790546,"Arid1a",1.26186686017038,1.59245019213483,0,0,0
"Arid1a_3",1.20606343693605,"Arid1a",1.07295551357755,1.37335146680254,0,0,0
"Arid2_1",0.929200251899045,"Arid2",0.829750370609326,1.05415959343522,0.2,0.4,0.55133214920071
"Arid2_2",0.780376260277704,"Arid2",0.717958337563619,0.865651707526848,0,0,0
"Arid2_3",0.966703420018913,"Arid2",0.816757863544975,1.21962309093026,0.3,0.6,0.706525037936267
"Arid4a_1",1.15293313793739,"Arid4a",1.06262251771199,1.24719645550323,0,0,0
"Arid4a_2",1.6864023149094,"Arid4a",1.3847856064542,1.94709206005466,0,0,0
"Arid4a_3",1.63352693413253,"Arid4a",1.40438525318365,1.85562270956072,0,0,0
"Arid4b_1",0.807558834622269,"Arid4b",0.688146928522237,0.950887326729469,0,0,0
"Arid4b_2",0.961262005711098,"Arid4b",0.883448759840489,1.0616164376368,0.2,0.4,0.55133214920071
"Arid4b_3",0.842423637386432,"Arid4b",0.726727714809931,0.92825795166768,0,0,0
"Ash1l_1",0.974699148634035,"Ash1l",0.857274118927763,1.07062134233965,0.3,0.6,0.706525037936267
"Ash1l_2",0.953285159650058,"Ash1l",0.863841233707345,1.08105956837259,0.3,0.6,0.706525037936267
"Ash1l_3",1.10669635235561,"Ash1l",0.978998274827636,1.24405006072516,0.1,0.2,0.33448275862069
"Ash2l_1",1.18675489527457,"Ash2l",1.04103345437936,1.34539399446635,0,0,0
"Ash2l_2",1.84831558925851,"Ash2l",1.5817258573608,2.12916666666667,0,0,0
"Ash2l_3",1.04240006236601,"Ash2l",0.966581363667202,1.13330348470981,0.3,0.6,0.706525037936267
"Asxl1_1",0.773310273578775,"Asxl1",0.621352206210567,0.922528409789601,0,0,0
"Asxl1_2",0.899072928848962,"Asxl1",0.778153447014799,1.01307095899634,0.1,0.2,0.33448275862069
"Asxl1_3",1.19123488756546,"Asxl1",0.997022462709263,1.3593729846223,0.1,0.2,0.33448275862069
"Asxl2_1",1.36756426150826,"Asxl2",1.21500350445653,1.52832381481483,0,0,0
"Asxl2_2",1.64602971476366,"Asxl2",1.47577605293665,1.77483660130719,0,0,0
"Asxl2_3",1.91999140651463,"Asxl2",1.753519603978,2.07631659250335,0,0,0
"Atf2_1",1.06800939702695,"Atf2",0.964931168480966,1.15743057411826,0.1,0.2,0.33448275862069
"Atf2_2",0.977484227099432,"Atf2",0.933572373589793,1.03042145616103,0.1,0.2,0.33448275862069
"Atf2_3",1.02857540017072,"Atf2",0.881599764730225,1.21876892787162,0.4,0.8,0.841192411924119
"Atf7ip_1",1.13721213969045,"Atf7ip",1.00154089371258,1.29506625391629,0.1,0.2,0.33448275862069
"Atf7ip_2",0.971156628282789,"Atf7ip",0.851727771938189,1.1250542261394,0.5,1,1
"Atf7ip_3",1.14821646441952,"Atf7ip",0.919123320268018,1.33567406735594,0.2,0.4,0.55133214920071
"Atrx_1",1.15057875540005,"Atrx",1.07421099456791,1.22657091722429,0,0,0
"Atrx_2",0.992500791587656,"Atrx",0.831190529607522,1.15585083572487,0.5,1,1
"Atrx_3",0.873407846169088,"Atrx",0.69945111619125,1.07708812622126,0.2,0.4,0.55133214920071
"Bag6_1",1.0019256498419,"Bag6",0.940978637442549,1.06501797108241,0.5,1,1
"Bag6_2",1.04655679849915,"Bag6",0.928886121163965,1.17305981519119,0.4,0.8,0.841192411924119
"Bag6_3",0.946206500018375,"Bag6",0.859530185173948,1.03569178357106,0.2,0.4,0.55133214920071
"Bap1_1",0.729818455055353,"Bap1",0.572489260598957,0.841445955208731,0,0,0
"Bap1_2",0.790638012019622,"Bap1",0.72192607653074,0.871120297166653,0,0,0
"Bap1_3",0.751778879541554,"Bap1",0.69080791542831,0.859588530513826,0,0,0
"Baz1a_1",1.10164514561793,"Baz1a",0.783235384561414,1.23427601809955,0.2,0.4,0.55133214920071
"Baz1a_2",1.03848931470355,"Baz1a",0.957000288641681,1.12549383686631,0.3,0.6,0.706525037936267
"Baz1a_3",0.90414003203394,"Baz1a",0.808852055267038,0.987059936165966,0,0,0
"Baz1b_1",1.01393488303231,"Baz1b",0.882303092827038,1.16986835036706,0.5,1,1
"Baz1b_2",1.1325961255693,"Baz1b",1.04336920193308,1.28629217941686,0,0,0
"Baz1b_3",1.07984765522271,"Baz1b",0.932093437574709,1.2298930254208,0.1,0.2,0.33448275862069
"Baz2a_1",1.01028208013896,"Baz2a",0.864989953550823,1.14932054012961,0.5,1,1
"Baz2a_2",0.857793676982464,"Baz2a",0.826477421974681,0.915635517975678,0,0,0
"Baz2a_3",0.905011924521501,"Baz2a",0.789022728051833,1.02814063149858,0.1,0.2,0.33448275862069
"Baz2b_1",0.932004303291784,"Baz2b",0.739658533374096,1.1071636709,0.3,0.6,0.706525037936267
"Baz2b_2",1.21591724981415,"Baz2b",0.972676392224609,1.42219626022738,0.1,0.2,0.33448275862069
"Baz2b_3",1.08294161987128,"Baz2b",0.973614928599116,1.25842384561584,0.3,0.6,0.706525037936267
"Bptf_1",1.07635914103184,"Bptf",0.975069363033146,1.21123226193083,0.2,0.4,0.55133214920071
"Bptf_2",0.82019728109664,"Bptf",0.703810343810938,0.899499159447986,0,0,0
"Bptf_3",0.826450014234164,"Bptf",0.758683993593538,0.911592886941378,0,0,0
"Brd1_1",1.14115431441357,"Brd1",1.00382505530826,1.4084427251791,0.1,0.2,0.33448275862069
"Brd1_2",1.12047952880064,"Brd1",0.965529415457489,1.27006355271584,0.2,0.4,0.55133214920071
"Brd1_3",1.06572464061196,"Brd1",0.982895704542001,1.19689198909077,0.3,0.6,0.706525037936267
"Brd2_1",1.07000333878043,"Brd2",0.99295026084574,1.19096692841859,0.1,0.2,0.33448275862069
"Brd2_2",0.987084200667849,"Brd2",0.837016481155753,1.13979391803756,0.3,0.6,0.706525037936267
"Brd2_3",1.02342409955421,"Brd2",0.914485270116556,1.14724140089966,0.4,0.8,0.841192411924119
"Brd3_1",0.935989787540928,"Brd3",0.721929763851078,1.12758589420541,0.4,0.8,0.841192411924119
"Brd3_2",1.13146981737434,"Brd3",1.06461029569787,1.20846335728629,0,0,0
"Brd3_3",0.961453410836345,"Brd3",0.883779987308571,1.03950565008266,0.4,0.8,0.841192411924119
"Brd4_1",0.623849764936452,"Brd4",0.53791266518102,0.720539815538611,0,0,0
"Brd4_2",0.812839045768355,"Brd4",0.758245640096735,0.947072042313136,0,0,0
"Brd4_3",0.812762913623367,"Brd4",0.741630313676272,0.926704518117832,0,0,0
"Brd7_1",1.05464049946546,"Brd7",0.889810436039121,1.22002201209053,0.3,0.6,0.706525037936267
"Brd7_2",1.06634623162592,"Brd7",0.999007698688381,1.1295232099373,0.1,0.2,0.33448275862069
"Brd7_3",1.08952977042329,"Brd7",1.03337156727409,1.17797323482366,0,0,0
"Brd8_1",1.12992872883437,"Brd8",0.971513229888348,1.31236628214994,0.1,0.2,0.33448275862069
"Brd8_2",0.873029812330078,"Brd8",0.792904526624164,0.94614242621406,0,0,0
"Brd8_3",0.901572599172316,"Brd8",0.82751800280039,1.05583160223536,0.1,0.2,0.33448275862069
"Brpf3_1",1.00808755278335,"Brpf3",0.924843742795343,1.12612204180373,0.4,0.8,0.841192411924119
"Brpf3_2",1.08267741244247,"Brpf3",0.945202617337326,1.16827384991645,0.1,0.2,0.33448275862069
"Brpf3_3",0.856678326636544,"Brpf3",0.776244689543612,0.982177550452922,0,0,0
"Brwd1_1",0.981133686922124,"Brwd1",0.851696290615491,1.12879433863677,0.4,0.8,0.841192411924119
"Brwd1_2",0.985751461173288,"Brwd1",0.843564627879738,1.0759800462256,0.4,0.8,0.841192411924119
"Brwd1_3",0.898215553111674,"Brwd1",0.705501599085661,1.11236447689631,0.2,0.4,0.55133214920071
"Brwd3_1",1.13502732104916,"Brwd3",0.951827133845343,1.3019595984983,0.2,0.4,0.55133214920071
"Brwd3_2",1.0078323225053,"Brwd3",0.878046962004111,1.19880986041607,0.5,1,1
"Brwd3_3",1.00463786394415,"Brwd3",0.911772697892617,1.16474211912273,0.5,1,1
"C7orf26_1",1.54171327820304,"C7orf26",1.3372832297514,1.74827591806977,0,0,0
"C7orf26_2",1.20759452260831,"C7orf26",1.03561127327791,1.29224870682871,0,0,0
"C7orf26_3",1.7335537720451,"C7orf26",1.47150997062497,1.99272401062039,0,0,0
"Carm1_1",0.866626373042626,"Carm1",0.79099142588493,0.941558422006134,0,0,0
"Carm1_2",0.764965872418531,"Carm1",0.699439058011341,0.826509513588915,0,0,0
"Carm1_3",0.861435656444934,"Carm1",0.789271034502907,0.932294831275166,0,0,0
"Cbx1_1",1.27205906887595,"Cbx1",1.10589122577861,1.47888192299208,0,0,0
"Cbx1_2",1.01726809308485,"Cbx1",0.75673850993964,1.37635902816017,0.5,1,1
"Cbx1_3",1.00308085580515,"Cbx1",0.930734209445622,1.10476496532629,0.4,0.8,0.841192411924119
"Cbx3_1",0.967005199793818,"Cbx3",0.885105607326636,1.03996851778432,0.4,0.8,0.841192411924119
"Cbx3_2",0.934723418848009,"Cbx3",0.832827478678973,1.07710668403258,0.2,0.4,0.55133214920071
"Cbx3_3",1.01186352327442,"Cbx3",0.966315300352246,1.09509110157011,0.4,0.8,0.841192411924119
"Cbx5_1",1.08025065653003,"Cbx5",0.921033113477268,1.21065610975997,0.3,0.6,0.706525037936267
"Cbx5_2",1.03510481147019,"Cbx5",0.92259688797623,1.26822395612607,0.4,0.8,0.841192411924119
"Cbx5_3",0.97851834773395,"Cbx5",0.769883932312668,1.28539897739792,0.5,1,1
"Cdkn1a_1",1.09681411863175,"Cdkn1a",0.907212552175664,1.22181331778557,0.1,0.2,0.33448275862069
"Cdkn1a_3",1.10494845518391,"Cdkn1a",0.976557014156398,1.17767138916821,0.1,0.2,0.33448275862069
"Cecr2_1",1.07686787439472,"Cecr2",0.870853520567143,1.25121289339345,0.3,0.6,0.706525037936267
"Cecr2_2",0.871021159600836,"Cecr2",0.774510862465221,0.96848932939358,0,0,0
"Cecr2_3",0.976916014660784,"Cecr2",0.865216244777931,1.11914108284462,0.2,0.4,0.55133214920071
"Celsr1_1",0.965484682445432,"Celsr1",0.892990056096502,1.09797995021682,0.2,0.4,0.55133214920071
"Celsr1_2",1.0765724315447,"Celsr1",0.868632785022126,1.31038457035576,0.3,0.6,0.706525037936267
"Celsr1_3",1.12935327939512,"Celsr1",0.97988096874408,1.36677398338174,0.2,0.4,0.55133214920071
"Celsr2_1",0.965923497587916,"Celsr2",0.878907235350712,1.11403584861323,0.2,0.4,0.55133214920071
"Celsr2_2",0.984539026184199,"Celsr2",0.904278267894852,1.09241992420382,0.4,0.8,0.841192411924119
"Celsr2_3",1.04484121480179,"Celsr2",0.948025428793169,1.16675968807446,0.2,0.4,0.55133214920071
"Cep290_1",0.831671117071436,"Cep290",0.71979981176773,0.955870768409285,0,0,0
"Cep290_2",0.957137077816486,"Cep290",0.851460779179746,1.09044310568268,0.1,0.2,0.33448275862069
"Cep290_3",0.930016202533654,"Cep290",0.766820170929901,1.06334929727032,0.2,0.4,0.55133214920071
"Chd1_1",0.915226443605401,"Chd1",0.846933397570861,1.00487677827917,0.1,0.2,0.33448275862069
"Chd1_2",0.922589206230759,"Chd1",0.781905400685219,1.03862524244845,0.1,0.2,0.33448275862069
"Chd1_3",0.856928984683038,"Chd1",0.778911240931096,0.92009877370602,0,0,0
"Chd2_1",0.721998948916503,"Chd2",0.640884733097484,0.819523723501614,0,0,0
"Chd2_2",0.818019150730465,"Chd2",0.69631764970344,0.98616267050773,0,0,0
"Chd2_3",0.743708119131876,"Chd2",0.675067450131241,0.850453686324748,0,0,0
"Chd3_1",0.91501984391374,"Chd3",0.804574189854692,1.03239887657173,0.1,0.2,0.33448275862069
"Chd3_2",0.907886595933951,"Chd3",0.831383433160059,1.01614307333898,0.1,0.2,0.33448275862069
"Chd3_3",0.912268647038132,"Chd3",0.728815195302828,1.10097124824519,0.2,0.4,0.55133214920071
"Chd4_1",1.04287526593887,"Chd4",0.909220109531052,1.21447485044156,0.3,0.6,0.706525037936267
"Chd4_2",0.920712113247805,"Chd4",0.845362221514937,1.04428414510596,0.2,0.4,0.55133214920071
"Chd4_3",0.787030699350728,"Chd4",0.642849740290061,0.946818856386961,0,0,0
"Chd6_1",1.05965558309799,"Chd6",0.957414088964119,1.16763152039308,0.2,0.4,0.55133214920071
"Chd6_2",1.28249162282219,"Chd6",1.10491921261899,1.42678701733458,0,0,0
"Chd6_3",1.13931073497837,"Chd6",1.07085861791187,1.21559794705966,0,0,0
"Chd8_1",1.27615361981905,"Chd8",0.978998274827636,1.70639621263548,0.1,0.2,0.33448275862069
"Chd8_2",1.04343323250912,"Chd8",0.929698707458728,1.12325523080651,0.3,0.6,0.706525037936267
"Chd8_3",0.948253956299999,"Chd8",0.829910376347094,1.10211026909265,0.3,0.6,0.706525037936267
"Chrac1_1",0.931345658759398,"Chrac1",0.811066037238849,1.15067292905889,0.2,0.4,0.55133214920071
"Chrac1_2",1.08181607448923,"Chrac1",1.01371210218493,1.24294827943563,0,0,0
"Chrac1_3",0.921310727890423,"Chrac1",0.78914878642795,1.05775496820943,0.1,0.2,0.33448275862069
"Crebbp_1",0.816433197229538,"Crebbp",0.773440899589015,0.857996421432758,0,0,0
"Crebbp_2",0.867603367086075,"Crebbp",0.795190891856116,0.933457731773768,0,0,0
"Crebbp_3",0.958493663721547,"Crebbp",0.878375464420682,1.08790729086039,0.2,0.4,0.55133214920071
"Cxxc1_1",0.881945969902685,"Cxxc1",0.787473521647166,0.934918805132318,0,0,0
"Cxxc1_2",0.932142133009853,"Cxxc1",0.838986764331112,1.02233685877841,0.1,0.2,0.33448275862069
"Cxxc1_3",0.982054462693581,"Cxxc1",0.799953941976348,1.1114024388381,0.5,1,1
"Dhx30_1",0.907047409695231,"Dhx30",0.816709289080811,0.978912066963498,0,0,0
"Dhx30_2",0.906959699874402,"Dhx30",0.775124825681615,1.03305330724119,0.2,0.4,0.55133214920071
"Dhx30_3",0.731111058419919,"Dhx30",0.679491626295067,0.844365078560277,0,0,0
"Dido1_1",0.889967939654605,"Dido1",0.767614916945761,1.07133632960631,0.1,0.2,0.33448275862069
"Dido1_2",0.950870873629549,"Dido1",0.888706820611513,1.02636208435195,0.1,0.2,0.33448275862069
"Dido1_3",1.20900999962818,"Dido1",1.13664031770154,1.34611417533544,0,0,0
"Dnmt1_1",0.869588907652145,"Dnmt1",0.679953595559365,0.98217206942349,0,0,0
"Dnmt1_2",0.680285196768136,"Dnmt1",0.621843056963749,0.733963097087582,0,0,0
"Dnmt1_3",0.892427227319516,"Dnmt1",0.830857017309058,0.959973892957608,0,0,0
"Dnmt3a_1",1.24181830629854,"Dnmt3a",1.02421927158027,1.43317078923823,0.1,0.2,0.33448275862069
"Dnmt3a_2",1.28067032711752,"Dnmt3a",1.193845934694,1.46944289923576,0,0,0
"Dnmt3a_3",1.07487121964772,"Dnmt3a",1.00232558139535,1.20999294382468,0.1,0.2,0.33448275862069
"Dpf2_1",0.957601474590137,"Dpf2",0.818122178435644,1.08457734838121,0.3,0.6,0.706525037936267
"Dpf2_2",1.2197389019398,"Dpf2",1.11913098353811,1.36047388958956,0,0,0
"Dpf2_3",0.876784477661398,"Dpf2",0.80062400981893,1.03074068183383,0.1,0.2,0.33448275862069
"Dusp1_1",0.865885583706897,"Dusp1",0.771555846365242,0.918766163845449,0,0,0
"Dusp1_2",0.974282548782836,"Dusp1",0.87579575596817,1.10557481356781,0.3,0.6,0.706525037936267
"Dusp1_3",0.99193024766605,"Dusp1",0.907155875728327,1.09923662884554,0.4,0.8,0.841192411924119
"Eed_1",0.83743893066975,"Eed",0.760842409802587,0.973919356617853,0,0,0
"Eed_2",0.776622119650239,"Eed",0.688281566581806,0.932018297175028,0,0,0
"Eed_3",0.726258575803464,"Eed",0.651267653758355,0.818314502553381,0,0,0
