"gene_name","point_est","p","fdr"
"Phf3",1.31683337838015,0,0
"Phip",1.079148200416,0,0
"Phrf1",1.08697383977134,0,0
"Pogz",0.934442362666168,0,0
"Pole3",0.940901339801598,0.12540462098137,0.175806478217901
"Ppp4r3a",0.977240242197658,0.341092356800467,0.406260408709499
"Ppp4r3b",0.995081353870482,0,0
"Prmt1",2.47243525391683,0,0
"Prmt2",0.97976921964984,0.211550769230525,0.274267147719221
"Prmt8",1.05352442588479,0,0
"Psip1",2.31298973362397,0,0
"Psma3",0.751195719222506,0,0
"Psmd1",0.909532396807932,0,0
"Ptpn11",0.741081785074076,0,0
"Ptpn14",1.07749012270109,0,0
"Pwwp2b",1.08773299420536,0,0
"Rad21",1.28542418594194,0,0
"Rai1",0.980039077245189,0.177393341293725,0.246332933644841
"Rasa1",1.15005258346654,0,0
"Rb1",3.58754185387531,0,0
"Rbbp4",0.940892117837287,0,0
"Rbbp5",0.717509051029754,0,0
"Rbbp7",0.835744756202304,0,0
"Rbm10",1.62237495242143,0,0
"Rere",0.889083489630363,0.308252953392104,0.374763964082516
"Ring1",1.23343806594615,0,0
"Rnf2",1.03120855833556,0,0
"Rsu1",0.954558599447191,0.0711417802650589,0.102682471022967
"Rtf1",0.712581057541029,0,0
"Ruvbl1",0.880558269864463,0,0
"Ruvbl2",0.736742901447366,0,0
"Scmh1",1.08896620045987,0,0
"Set",0.907232755576841,0,0
"Setd1a",0.935777058450736,0.448481199824531,0.503467400569301
"Setd2",3.91035954057383,0,0
"Setd3",0.867370125777404,0,0
"Setd5",1.04383422491469,0.298067699139013,0.363890982698878
"Setd7",1.03575472894704,0.292871614159282,0.360552029196091
"Sirt1",0.770396605325241,0,0
"Sirt2",1.24907225198682,0,0
"Sirt7",0.830027733559447,0,0
"Smarca2",0.96044798710273,0.325687222840248,0.392701054700382
"Smarca4",0.71253161980099,0.0707379350718209,0.102605024633879
"Smarca5",0.969940443826364,0,0
"Smarcb1",0.978218391261852,0.0736249975310583,0.105745707238236
"Smarcc1",1.13952020083343,0,0
"Smarcc2",1.53446012070189,0,0
"Smarcd2",0.727753206731508,0,0
"Smarce1",0.951707673758422,0,0
"Smc1a",0.768286794401871,0,0
"Smc3",0.806475048042747,0,0
"Smn1",1.22354142013146,0,0
"Smndc1",0.970914396257315,0.347039501963108,0.411670340385387
"Snd1",0.897469196564092,0,0
"Sos2",0.778024173392175,0,0
"Sp100",1.01609595956678,0.453801424636109,0.507495486329694
"Sp140",0.895906777456358,0,0
"Srcap",0.947868410068068,0,0
"Stag1",0.880148780144495,0,0
"Stag2",3.91107145497856,0,0
"Stk11",14.402974344621,0,0
"Sty1",0.957305756194188,0.369812624677494,0.434342374436688
"Suz12",1.09135365021263,0,0
"Tbl1xr1",1.23813602030375,0,0
"Tcf20",0.936678914849314,0,0
"Tdg",0.91865765744859,0,0
"Tdrd3",1.11020151772841,0,0
"Tet3",1.26247961828184,0,0
"Tfpt",0.951751004115139,0,0
"Trim28",0.869747493782064,0,0
"Trrap",0.81524735583889,0,0
"Tsc1",2.8505434216723,0,0
"Tulp3",0.970555698863691,0.382165545158436,0.44611356466702
"Ube2q1",0.950047638607715,0,0
"Uhrf2",0.943547641982751,0,0
"Vangl1",1.41757291561598,0.497600938832659,0.550177641803656
"Vcpkmt",0.837648341664076,0,0
"Vps72",1.19238460879121,0,0
"Wapl",0.843466283487902,0,0
"Wnk1",1.05397708093011,0.213875396858241,0.275251000015966
"Yeats4",0.713106669375378,0,0
"Yy1",1.25781294222378,0,0
"Zbtb38",0.948209035550892,0,0
"Zbtb4",0.943362617738159,0,0
"Zmat3",1.03994026383297,0.236074120832523,0.302051167702748
"Zmym5",1.69952918004097,0,0
"Zmynd11",0.882335103078229,0,0
"Zmynd8",2.64481667534417,0,0
"Zzz3",0.913884805279976,0,0
"sgNT1",0.213624101762938,1,1
"sgNT2",0.350430458096542,0,0
"sgNT3",0.457055802478926,0.2,0.261607142857143
"sgNT4",0.299099546191449,0.6,0.627857142857143
"sgNT5",0.242134545822878,0.4,0.451021994444202
"sgNeo1",0.28976806458139,1,1
"sgNeo2",0.213508014283257,0,0
"sgNeo3",0.381991025037815,0,0
"sgSafe1",0.50285960942534,0.2,0.261607142857143
"sgSafe10",0.277202086454822,0,0
"sgSafe11",0.271866572377672,0,0
"sgSafe12",0.441164064873247,0,0
"sgSafe13",0.366111831848835,0.6,0.627857142857143
"sgSafe14",0.367963793865348,0.4,0.451021994444202
"sgSafe15",0.313302001735316,0,0
"sgSafe16",0.268672487885016,0.8,0.808275862068966
"sgSafe17",0.301219198206229,0.2,0.261607142857143
"sgSafe18",0.379752404640549,0,0
"sgSafe19",0.295512394344458,0.4,0.451021994444202
"sgSafe2",0.410665828188469,0.4,0.451021994444202
"sgSafe20",0.352653265493562,0.2,0.261607142857143
"sgSafe21",0.38984898140329,0.4,0.451021994444202
"sgSafe22",0.282432248790562,0.2,0.261607142857143
"sgSafe23",0.330975354002545,0,0
"sgSafe24",0.222813230739533,0.8,0.808275862068966
"sgSafe25",0.466001333776054,0.2,0.261607142857143
"sgSafe26",0.366937198452401,0.2,0.261607142857143
"sgSafe27",0.553288816732103,0.6,0.627857142857143
"sgSafe28",0.238477481503497,0.8,0.808275862068966
"sgSafe29",0.199462073914045,0.6,0.627857142857143
"sgSafe3",0.472380735965843,0.4,0.451021994444202
"sgSafe30",0.318954215015727,0.6,0.627857142857143
"sgSafe31",0.19127667495009,0,0
"sgSafe32",0.425371077594078,0.8,0.808275862068966
"sgSafe33",0.273443384195896,0.6,0.627857142857143
"sgSafe34",0.281983362229707,0.2,0.261607142857143
"sgSafe35",0.226843107670116,0,0
"sgSafe36",0.51280332491566,0.6,0.627857142857143
"sgSafe37",0.244661082540714,0.4,0.451021994444202
"sgSafe38",0.400281498640492,0.6,0.627857142857143
"sgSafe39",0.18176419734547,0.6,0.627857142857143
"sgSafe4",0.438739993319449,0.4,0.451021994444202
"sgSafe40",0.32303101986462,0.6,0.627857142857143
"sgSafe41",0.389650445842099,0.2,0.261607142857143
"sgSafe42",0.312591627645369,0.6,0.627857142857143
"sgSafe5",0.413225453138661,0.8,0.808275862068966
"sgSafe6",0.222249605824511,0.8,0.808275862068966
"sgSafe7",0.350688491370256,0.6,0.627857142857143
"sgSafe8",0.424276308912972,0.2,0.261607142857143
"sgSafe9",0.292420994370118,0.8,0.808275862068966
