"guide","point_est","gene_name","lower_ci","upper_ci","p_onetail","p_twotail","fdr"
"Cdkn1a_3",1.10291569324571,"Cdkn1a",1.00632311627769,1.23494074485418,0.1,0.2,0.38320987654321
"Cecr2_1",1.11471482691115,"Cecr2",0.942298931337138,1.29300533376237,0.4,0.8,0.857458563535912
"Cecr2_2",1.04031198845846,"Cecr2",0.915114993414989,1.14900819594391,0.5,1,1
"Cecr2_3",1.05833905111478,"Cecr2",0.889116603720358,1.1375331677787,0.2,0.4,0.580186915887851
"Celsr1_1",1.06745096514636,"Celsr1",1.00153198703767,1.17514536972024,0.1,0.2,0.38320987654321
"Celsr1_2",1.02790816842989,"Celsr1",0.879301551970844,1.095345374477,0.2,0.4,0.580186915887851
"Celsr1_3",1.03943399514295,"Celsr1",0.898763956199487,1.15589177891123,0.3,0.6,0.74496
"Celsr2_1",1.00696591462267,"Celsr2",0.920526384243566,1.05509614524063,0.4,0.8,0.857458563535912
"Celsr2_2",0.982186388820249,"Celsr2",0.912019889013272,1.03415913384249,0.3,0.6,0.74496
"Celsr2_3",1.07402615011649,"Celsr2",0.95544631050566,1.18537525240742,0.2,0.4,0.580186915887851
"Cep290_1",0.924121377248126,"Cep290",0.817675810427609,1.00810508619849,0.1,0.2,0.38320987654321
"Cep290_2",0.96297055310519,"Cep290",0.854079119375962,1.04794583434903,0.3,0.6,0.74496
"Cep290_3",0.967493674201235,"Cep290",0.860122304077623,1.0856255090172,0.3,0.6,0.74496
"Chd1_1",0.952571392402057,"Chd1",0.861705033176515,1.01652699082996,0.2,0.4,0.580186915887851
"Chd1_2",0.968016718612899,"Chd1",0.864087198541097,1.09521441662023,0.2,0.4,0.580186915887851
"Chd1_3",0.941512090605238,"Chd1",0.865087712848427,0.999992341989721,0,0,0
"Chd2_1",0.826650690371805,"Chd2",0.71984284840007,0.923737555257809,0,0,0
"Chd2_2",0.897145198384113,"Chd2",0.778091888066442,0.998114923815478,0,0,0
"Chd2_3",0.835212372725412,"Chd2",0.73936409884666,0.927714514735966,0,0,0
"Chd3_1",0.937976158522228,"Chd3",0.866090307344394,0.992176985023184,0,0,0
"Chd3_2",0.967518901437395,"Chd3",0.839894644694263,1.10762723874087,0.3,0.6,0.74496
"Chd3_3",0.916053218681503,"Chd3",0.744434139978157,1.08849019796974,0.2,0.4,0.580186915887851
"Chd4_1",1.07090195096874,"Chd4",0.987353301612638,1.1636336149567,0.3,0.6,0.74496
"Chd4_2",0.997232727453267,"Chd4",0.916547772744126,1.08690944635228,0.4,0.8,0.857458563535912
"Chd4_3",0.867512424999621,"Chd4",0.785246504200528,0.947216690206684,0,0,0
"Chd6_1",1.06012479031953,"Chd6",0.994214809308221,1.19904697123942,0.1,0.2,0.38320987654321
"Chd6_2",1.20885280694589,"Chd6",1.0495933840221,1.31131030951881,0,0,0
"Chd6_3",1.13163842902415,"Chd6",1.07330223935718,1.20810636628393,0,0,0
"Chd8_1",1.208365178748,"Chd8",1.10867681138483,1.32065511907981,0,0,0
"Chd8_2",1.12706859016228,"Chd8",1.05360145527114,1.27996153394418,0,0,0
"Chd8_3",1.01638659445011,"Chd8",0.860591194448859,1.16043443626603,0.4,0.8,0.857458563535912
"Chrac1_1",1.02147086968886,"Chrac1",0.954071033317232,1.10661364935728,0.5,1,1
"Chrac1_2",1.07712451413828,"Chrac1",0.976403437298343,1.1526654732181,0.2,0.4,0.580186915887851
"Chrac1_3",1.00258747316921,"Chrac1",0.887760436418799,1.10153301111798,0.4,0.8,0.857458563535912
"Crebbp_1",0.887159205094442,"Crebbp",0.802776846292205,0.973323084631936,0,0,0
"Crebbp_2",0.977267472425996,"Crebbp",0.849953047690574,1.06084323939723,0.3,0.6,0.74496
"Crebbp_3",0.952752075931609,"Crebbp",0.881374830816859,1.02929059786347,0.1,0.2,0.38320987654321
"Cxxc1_1",0.956011568936303,"Cxxc1",0.883256851194488,1.03498086475232,0.1,0.2,0.38320987654321
"Cxxc1_2",0.982643090241924,"Cxxc1",0.939145114953998,1.04224236746324,0.3,0.6,0.74496
