"guide","point_est","gene_name","lower_ci","upper_ci","p_onetail","p_twotail","fdr"
"sgNeo3",0.995323088320366,"sgNeo3",0.808147380900565,1.32710600899675,0.4,0.8,0.851577503429355
"sgNT1",0.848012676930796,"sgNT1",0.688119319790943,1.03712311431729,0.1,0.2,0.371291866028708
"sgNT2",1.10167498747536,"sgNT2",1.00320554761963,1.24639275545284,0.1,0.2,0.371291866028708
"sgNT3",1.00526389846691,"sgNT3",0.88713161334078,1.15149862908396,0.4,0.8,0.851577503429355
"sgNT4",1.22260295708532,"sgNT4",1.07915346395692,1.50567092599787,0,0,0
"sgNT5",0.978083666226622,"sgNT5",0.834812391623275,1.10790370090231,0.5,1,1
"sgSafe1",1.20836760459594,"sgSafe1",1.03121534543213,1.42243775292784,0,0,0
"sgSafe10",0.931121507497638,"sgSafe10",0.794911256206866,1.07001309087684,0.4,0.8,0.851577503429355
"sgSafe11",1.44319009998615,"sgSafe11",1.1033722258359,1.77392578149413,0,0,0
"sgSafe12",1.07340406656381,"sgSafe12",0.886058532721961,1.32749216296001,0.4,0.8,0.851577503429355
"sgSafe13",0.880506456389037,"sgSafe13",0.77405726513563,0.982382546282423,0,0,0
"sgSafe14",0.972654350379121,"sgSafe14",0.830922170364632,1.05960085700273,0.5,1,1
"sgSafe15",0.818442198876407,"sgSafe15",0.729407633052574,0.892401880786767,0,0,0
"sgSafe16",1.02038706390284,"sgSafe16",0.788684906106107,1.2131224736733,0.4,0.8,0.851577503429355
"sgSafe17",1.08661025882511,"sgSafe17",0.855252230486993,1.33238808207402,0.2,0.4,0.592366412213741
"sgSafe18",1.24333003286226,"sgSafe18",0.974019264407706,1.62023935342827,0.1,0.2,0.371291866028708
"sgSafe19",0.968406017644733,"sgSafe19",0.846424298006897,1.15259526825481,0.3,0.6,0.74140127388535
"sgSafe2",1.10842765866756,"sgSafe2",0.991385923394076,1.19639910825396,0.1,0.2,0.371291866028708
"sgSafe20",0.891586028347244,"sgSafe20",0.769598731274617,1.05378900657795,0.1,0.2,0.371291866028708
"sgSafe21",1.0437062203551,"sgSafe21",0.835690651870292,1.2391447078962,0.4,0.8,0.851577503429355
"sgSafe22",1.10060889532892,"sgSafe22",0.998270305833121,1.26708188602038,0.1,0.2,0.371291866028708
"sgSafe23",1.06508147668115,"sgSafe23",0.941697104497405,1.22513790749501,0.1,0.2,0.371291866028708
"sgSafe24",0.964015669900959,"sgSafe24",0.837642097963999,1.11089756870635,0.3,0.6,0.74140127388535
